eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
2 0.0824765 68.7845 7.86365 0.205514 38
3 0.0277307 21.8983 3.20639 0.2872 14
5 0.0422894 34.1903 4.34579 0.202984 30
6 0.0943145 77.3579 17.5683 0.30866 38
9 0.0848369 72.7089 9.16969 0.230273 35
12 0.0256316 21.9749 6.3208 0.355187 13
14 0.112823 94.4219 12.4897 0.233606 35
15 0.0591694 50.7157 4.80001 0.182276 36
16 0.116028 100.228 20.2418 0.228912 53
17 0.0232573 19.9351 2.8253 0.256899 16
18 0.0263409 22.2827 3.09496 0.258567 18
20 0.069178 58.0836 3.4823 0.168225 43
21 0.0418844 35.8262 4.81427 0.248305 22
23 0.0357035 28.6701 3.67415 0.233742 21
25 0.0166582 14.2217 2.39846 0.29237 13
26 0.0790891 66.3504 6.56995 0.18429 41
30 0.121421 104.106 8.54696 0.157498 55
31 0.0450339 38.378 3.35842 0.18503 33
34 0.0302708 26.0644 2.39897 0.244279 21
35 0.0344484 28.6646 6.71807 0.282817 21
37 0.113399 93.7779 9.22932 0.172551 52
41 0.0639959 53.202 8.88647 0.253293 29
42 0.0528637 44.1938 5.94128 0.198782 34
44 0.106824 90.5365 10.0381 0.162842 57
45 0.0932486 79.5709 7.40181 0.177044 46
48 0.0605919 48.9416 15.1336 0.390462 21
49 0.0294703 27.561 2.74824 0.204701 25
50 0.012754 10.3447 2.00652 0.307253 12
51 0.100806 88.4122 7.49591 0.171657 48
53 0.0284088 26.1701 10.7365 0.449288 13
54 0.0956025 82.3397 6.48854 0.165674 54
56 0.0921754 77.6718 5.86464 0.169303 49
58 0.0430383 35.5689 4.73477 0.230557 26
59 0.0280293 25.4543 7.19235 0.327175 18
60 0.0421799 35.6492 3.84104 0.189568 30
61 0.0656315 55.4231 13.999 0.332213 26
63 0.0178079 14.112 4.69498 0.404918 11
64 0.112283 97.0709 15.7014 0.218221 51
65 0.0782113 68.1063 11.1906 0.270878 33
67 0.0530116 45.2166 7.12488 0.261706 23
68 0.0980289 81.8065 5.94994 0.179814 37
70 0.0292005 24.7472 6.05695 0.315027 15
73 0.0634575 54.0858 9.96714 0.24763 34
75 0.0752837 62.4576 8.09525 0.244947 26
76 0.0469413 38.099 3.334 0.185232 33
77 0.0741888 62.3052 14.1148 0.258224 39
78 0.0588495 51.2747 7.24279 0.21328 31
79 0.0210021 19.7909 2.52453 0.304004 14
80 0.0755258 56.8349 9.03331 0.263101 24
81 0.0139775 11.9266 2.0109 0.295827 12
82 0.139157 117.456 9.08149 0.161999 58
84 0.0849462 73.4064 9.31227 0.199149 42
87 0.102352 86.3626 7.08587 0.158818 52
88 0.0777927 64.6815 5.51496 0.15626 44
89 0.122123 99.6432 11.5531 0.194695 42
90 0.132456 114.088 12.9224 0.16971 52
91 0.0805726 68.6877 11.0952 0.25296 31
92 0.0547551 46.7124 8.70019 0.237685 29
93 0.116546 97.8351 4.91805 0.133119 59
94 0.0871935 71.1745 9.05263 0.230805 35
99 0.0861042 73.9998 6.79125 0.202865 37
100 0.0498918 40.6272 4.93307 0.205717 29
101 0.00854765 8.21197 1.49563 0.382371 7
103 0.0704576 61.2732 7.48357 0.20837 32
104 0.104392 86.973 11.8845 0.189267 46
105 0.098832 83.2652 5.92112 0.143795 54
106 0.0585526 49.0894 4.34217 0.170836 40
108 0.0974886 82.3403 6.45036 0.156431 51
111 0.0167123 13.7299 1.9514 0.282199 13
112 0.0211229 17.642 3.70145 0.302499 15
113 0.0734821 60.9036 3.21055 0.145067 44
114 0.0602415 49.5624 4.80923 0.203776 32
116 0.0182826 15.4012 2.95473 0.315301 12
117 0.0215247 19.0264 5.55946 0.397346 12
118 0.00827423 6.68414 3.99328 0.653448 4
120 0.0526547 42.4439 6.20093 0.212123 34
121 0.0295502 24.0565 2.22074 0.219125 22
122 0.0505684 41.7017 5.10174 0.232371 24
124 0.0501722 42.4611 7.15429 0.24038 26
126 0.0355589 31.625 3.73306 0.21646 27
127 0.131898 112.338 8.26381 0.140348 67
130 0.118475 100.784 5.51529 0.121654 69
131 0.0860525 71.6033 4.6264 0.159047 45
132 0.102669 83.7154 7.30762 0.185896 47
133 0.0732851 65.4051 5.50671 0.180921 39
134 0.0484251 41.1344 4.72524 0.225512 27
135 0.0864576 71.9364 5.22062 0.153816 49
137 0.044722 37.5865 4.52855 0.239186 28
138 0.0386262 32.6804 3.04098 0.211881 24
139 0.0924108 77.8851 9.16746 0.215603 36
140 0.0582693 48.2868 8.74341 0.298364 21
141 0.0133014 10.5578 2.39082 0.348388 10
142 0.139979 122.106 10.0321 0.142717 70
143 0.0937019 75.6846 8.01425 0.197026 38
144 0.106987 90.7408 5.91814 0.137283 57
145 0.0705113 59.347 8.49874 0.197857 37
147 0.0813514 66.6576 4.77945 0.179834 37
151 0.0357376 31.2571 8.16697 0.294047 24
152 0.0508873 43.3443 14.008 0.364935 24
155 0.111204 92.5023 5.63077 0.135355 60
156 0.13696 116.598 7.25445 0.154054 53
158 0.0373092 33.2157 3.39003 0.202815 27
159 0.0520185 42.1234 7.13439 0.228823 31
160 0.0454657 37.5306 2.70005 0.167184 35
164 0.0161504 13.1884 2.23589 0.360434 11
165 0.0677158 61.6695 9.00499 0.222648 34
168 0.061606 52.935 11.5671 0.264788 33
169 0.112644 91.1966 8.25913 0.169097 51
172 0.105573 87.4514 9.2301 0.167111 57
173 0.0757931 69.1399 18.5319 0.360136 24
174 0.0846966 70.2424 5.18317 0.198895 35
175 0.0890649 75.1569 5.80404 0.169887 48
176 0.104814 89.1147 10.0384 0.176655 51
177 0.101561 86.1514 7.16868 0.190404 49
178 0.0816816 68.7912 3.98534 0.151959 50
179 0.0954563 81.4386 8.57843 0.190736 45
183 0.0550066 44.4533 4.56801 0.199666 32
186 0.0564882 46.2834 6.90488 0.216154 34
188 0.121767 99.9739 6.40155 0.151345 50
190 0.0950671 80.2485 8.65476 0.20405 47
194 0.024063 18.9074 3.1912 0.319775 12
195 0.0353717 29.2999 3.29413 0.228742 23
196 0.0685689 61.3947 12.1893 0.244677 36
199 0.037695 29.8609 2.79828 0.199597 28
200 0.109011 90.0214 6.6061 0.149956 55
201 0.0577219 49.329 6.91744 0.222383 30
202 0.0609736 52.397 8.32546 0.245671 33
203 0.0360257 31.4717 3.897 0.235354 23
204 0.0357087 28.4692 2.14922 0.190943 28
205 0.0451081 38.0359 6.89531 0.276088 22
207 0.0635203 50.0056 7.77415 0.255728 27
