EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
15 387 4 0.27232 -0.255616 -1.12871 0.00230251 1.7698
15 394 6 -0.988155 -0.258641 -0.592946 0.00129718 1.67594
15 396 10 -1.12701 -0.269387 0.265664 0.00118043 1.03638
15 429 12 -0.273348 -1.1537 1.05465 0.00113189 0.985965
15 437 8 0.276007 1.00917 -1.06118 0.00147102 1.14121
16 339 16 -0.319072 -1.55989 0.636598 0.00118937 1.06574
16 355 8 -0.47802 1.50184 0.683966 0.000858027 0.558248
16 357 8 -0.81581 1.49826 -0.136478 0.000701249 0.42117
16 358 6 -0.685076 1.49826 -0.463513 0.000859554 1.23499
16 375 16 1.11571 0.603541 0.278947 0.00149847 1.25395
16 381 20 0.987308 -0.265603 -0.6027 0.000920249 0.779872
16 392 12 0.595539 -0.685606 -0.995765 0.000959876 0.854743
16 395 10 -1.12497 -0.692034 0.261124 0.00133308 1.15518
16 396 2 -1.12701 -0.269387 0.265664 0.00299557 2.63
16 401 4 -1.12268 -0.263086 -0.275456 0.00109004 0.976737
16 402 4 -0.989842 -0.264831 0.590253 0.00101609 1.11536
16 403 26 -0.986931 0.602692 -0.597985 0.00107653 1.25323
16 404 6 -0.938199 0.15471 0.554067 0.0022114 1.64661
16 411 4 -0.592554 0.60204 0.988542 0.0011535 1.10594
16 422 4 -0.941372 1.00794 -0.540199 0.00120183 0.926624
16 424 0 -1.05665 0.15471 0.259726 0.00106895 0.867656
16 425 4 -1.05524 0.151641 -0.26962 0.000210807 0.164436
16 427 10 -1.05098 -1.14774 -0.277048 0.00153918 1.32459
16 463 6 -0.549445 0.154402 0.936792 0.000930641 0.807848
17 339 10 -0.319072 -1.55989 0.636598 0.000916022 0.820808
17 341 4 -0.121207 -1.55989 0.438236 0.00457302 3.42036
17 343 8 0.148044 -1.55989 -0.473932 0.00156998 1.1544
17 377 12 0.980773 -0.260593 0.610842 0.000685316 0.625859
17 402 0 -0.989842 -0.264831 0.590253 0.000890285 0.977262
17 406 6 0.277282 -0.254911 1.1262 0.000493871 0.35151
17 408 2 -0.59746 -0.716475 0.985545 0.000835242 0.803891
17 409 0 -0.587648 -0.267541 0.99154 0.00551343 4.85765
17 412 0 -0.273005 -0.264034 1.12638 0.0036621 3.1061
17 414 2 0.266799 -0.692491 1.12485 0.00179165 1.62141
17 427 8 -1.05098 -1.14774 -0.277048 0.00146963 1.26474
17 447 4 -0.267873 -0.711104 1.05881 0.00120409 0.994294
17 454 18 1.05467 -1.14426 -0.266429 0.000673718 0.582801
17 463 22 -0.549445 0.154402 0.936792 0.00197751 1.71658
18 356 8 -0.679305 1.50259 0.476572 0.00124758 1.25638
18 358 6 -0.685076 1.49826 -0.463513 0.000431499 0.61997
18 362 6 0.814633 1.49826 -0.143337 0.000817136 0.715531
18 363 8 0.154679 1.50033 -0.818467 0.000876223 0.614031
18 364 6 0.294472 1.49826 0.0210051 0.00144218 1.1329
18 371 6 -0.296992 1.49826 -0.000172272 0.00185621 1.20455
18 382 6 0.940467 0.15453 -0.553142 0.00179789 1.22056
18 387 8 0.27232 -0.255616 -1.12871 0.00232099 1.78401
18 415 6 0.272041 0.602422 1.12552 0.000517305 0.552086
18 421 6 -0.941372 0.158238 -0.540199 0.00381815 3.21123
18 422 2 -0.941372 1.00794 -0.540199 0.0038947 3.00286
18 423 4 -1.05665 1.00742 0.259726 0.00129961 1.06438
18 460 12 -0.270611 1.00711 1.05673 0.000583759 0.471915
19 354 12 0.468804 1.50338 0.667847 0.000759649 0.4487
19 365 8 0.813602 1.49826 0.149082 0.00121274 0.937926
19 367 10 0.683524 1.50021 -0.470894 0.000777771 0.533817
19 369 12 0.150493 1.49826 0.813342 0.00138443 1.72623
19 386 10 -0.269554 0.604503 -1.12894 0.00371758 3.08769
19 390 2 0.598148 -0.265697 -0.99431 0.0023178 2.24376
19 395 18 -1.12497 -0.692034 0.261124 0.00100272 0.868911
19 405 24 0.553883 0.154889 0.93738 0.000979131 0.820043
19 413 6 0.602362 0.602422 0.984375 0.000660759 0.567175
19 435 20 -0.274461 0.157547 -1.04804 0.00111901 0.890221
19 455 6 1.04736 1.00903 0.287574 0.00135471 1.18316
19 456 12 0.940467 1.00724 -0.553142 0.000961185 0.801656
19 460 18 -0.270611 1.00711 1.05673 0.000967067 0.781784
22 375 12 1.11571 0.603541 0.278947 0.000468256 0.391846
