eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
68 -88.2756 153.265 20.835 0 -0.19725 -0.557974 0.806076 3.011 0.00490869
69 83.0393 137.725 -16.1613 0 0.924692 -0.34125 0.168799 3.011 0.0277316
70 -30.4746 184.454 88.8664 0 0.771045 0.54976 -0.321329 3.011 0.0104497
71 -147.054 27.1466 16.9728 0 -0.875277 -0.123047 -0.467707 3.011 0.00696607
72 -69.9752 -16.3301 35.8095 0 -0.0177501 -0.307073 0.95152 3.011 0.00736493
73 -49.0627 164.208 50.3236 0 -0.866376 0.0660365 -0.495007 3.011 0.00986791
74 81.1928 88.4897 72.6582 0 -0.916916 0.380464 -0.120465 3.011 0.0120085
75 -124.182 -34.1296 82.6451 0 -0.0929652 0.593731 0.799276 3.011 0.00934111
76 32.6099 -6.96896 91.5537 0 0.919665 0.350579 0.176945 3.011 0.00720513
77 52.7838 107.53 -53.0871 0 -0.114633 -0.40888 0.90536 3.011 0.00830682
78 -104.167 -156.854 -5.41575 0 0.0766054 0.7287 0.680535 3.011 0.00789522
79 61.7881 34.3445 -84.2809 0 0.411672 -0.0853548 -0.907326 3.011 0.0116167
80 104.807 -35.1036 41.0286 0 -0.938672 0.26657 -0.218711 3.011 0.0104253
81 30.7745 -74.8544 -46.7404 0 -0.839672 -0.0760806 0.537738 3.011 0.0092937
82 -15.7719 -184.805 35.643 0 -0.733938 0.146848 0.663152 3.011 0.0105265
83 -55.9308 60.088 -137.228 0 0.335951 -0.743385 -0.578374 3.011 0.00791584
84 122.59 112.295 -48.6502 0 0.520844 0.799562 -0.299037 3.011 0.0104067
85 -16.525 3.18297 73.4072 0 0.425607 0.522725 -0.738659 3.011 0.00733402
86 46.5892 -88.4406 -37.4 0 -0.45928 0.866656 -0.194857 3.011 0.00783869
87 -124.54 80.7268 43.7075 0 0.848929 -0.45068 0.276056 3.011 0.00776317
88 -104.2 33.0221 11.5395 0 -0.477767 -0.495493 -0.725414 3.011 0.0101958
89 -67.2883 23.3063 112.339 0 0.639052 0.763348 0.0944064 3.011 0.00980381
90 5.00784 -87.8449 -16.2195 0 -0.374347 -0.0933975 0.922573 3.011 0.010862
91 -22.4041 -85.3748 92.6487 0 0.648832 -0.326979 0.687097 3.011 0.00990292
92 8.98376 -178.203 11.4567 0 0.589919 0.275191 0.759122 3.011 0.011546
93 47.5027 -5.72271 58.8006 0 0.412339 -0.903288 0.11852 3.011 0.00931345
94 -137.737 -189.538 -30.739 0 -0.271012 0.202113 -0.941118 3.011 0.00981103
95 -67.7975 142.551 -70.8764 0 0.0017409 0.0310599 -0.999516 3.011 0.00573601
96 -54.0599 -52.1346 107.904 0 -0.0596227 -0.992915 0.102788 3.011 0.00855227
97 27.5136 88.1026 130.738 0 -0.348256 -0.671219 -0.654357 3.011 0.00985064
98 -6.97179 131.841 -95.7565 0 -0.84326 -0.533018 0.0693147 3.011 0.00941837
99 41.7361 172.125 -102.455 0 0.506869 -0.583662 0.634368 3.011 0.00819127
100 28.9769 166.232 38.6245 0 -0.456653 -0.887864 0.056265 3.011 0.00942066
101 51.44 -188.475 -54.9901 0 0.201995 -0.8232 0.530602 3.011 0.00759067
102 -21.4577 49.6215 -125.006 0 -0.917746 0.261796 0.29867 3.011 0.00835778
103 72.3554 192.563 -30.8448 0 -0.00602983 0.977862 -0.209163 3.011 0.00770824
104 -22.302 -30.8396 23.5154 0 0.822698 0.170746 -0.54223 3.011 0.00980732
105 78.4341 -167.974 -72.7222 0 0.450581 0.802386 0.391349 3.011 0.00775301
