eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
190 0.0159957 13.2762 2.00347 0.303072 11 10.1818
191 0.00627107 5.19113 1.37752 0.45396 5 11.2
192 0.0149098 12.1057 1.99527 0.309399 11 6.54545
194 0.0089709 8.18297 1.54875 0.353745 8 18
196 0.0120574 10.3226 1.68696 0.318166 10 9
198 0.0146462 12.4919 3.46223 0.403055 9 11.7778
199 0.0161055 13.9784 3.14401 0.365606 11 6.90909
202 0.0171839 14.7987 2.2315 0.292026 12 7.66667
203 0.0248159 20.4548 4.19715 0.32123 12 6.66667
205 0.00758845 6.214 1.70908 0.427671 6 9.66667
206 0.0272466 22.2733 2.96206 0.252268 16 9.125
208 0.0175992 15.051 2.74306 0.305633 12 9
209 0.0189054 15.955 3.68601 0.338118 11 8.18182
210 0.0268137 23.7935 2.0859 0.217955 20 8.7
211 0.0135744 12.8425 2.64674 0.352084 9 6.22222
213 0.011362 9.81699 1.43208 0.306748 12 7.66667
214 0.010936 9.62642 2.0786 0.341244 10 6.2
215 0.0192517 15.8576 2.60089 0.2622 17 10.8235
216 0.01636 13.1109 2.66684 0.328407 12 9
219 0.0125155 10.9062 2.71744 0.379725 8 5.5
221 0.00806858 6.56924 2.62119 0.475091 7 9.14286
222 0.00512083 4.04918 1.21125 0.469344 5 7.2
224 0.0173068 14.2907 1.86336 0.28894 13 5.69231
225 0.00783231 7.09388 1.45542 0.405339 6 12
226 0.0049861 3.91789 1.06813 0.455733 5 12
230 0.0310825 25.0604 6.57951 0.390028 12 7.33333
232 0.0082945 6.43845 1.30697 0.383122 7 11.1429
234 0.0148776 12.3829 2.76771 0.353126 10 7.8
239 0.0230316 21.0534 2.38605 0.25236 17 10
244 0.0113965 8.88736 2.71552 0.475987 5 6.4
247 0.0141742 11.5424 2.23254 0.345012 10 7.6
251 0.0248718 21.0339 2.6143 0.250107 17 6.23529
253 0.0205781 17.4022 3.48611 0.309072 13 8.46154
255 0.0211551 17.2096 2.20936 0.278208 14 8.28571
256 0.009251 7.56361 2.10675 0.405948 8 7.5
259 0.0230554 19.5224 5.382 0.344309 14 9
260 0.0211552 18.2212 5.06807 0.334706 15 8.26667
261 0.0185866 15.4805 1.77427 0.268045 14 8.57143
264 0.0169221 14.4185 6.69216 0.499449 9 8.66667
265 0.00897529 7.70008 2.1119 0.459829 5 5.2
267 0.0177464 14.7223 1.87179 0.288811 12 10.6667
268 0.0159823 15.5708 5.56764 0.435605 11 8.36364
272 0.0208149 16.9708 6.94635 0.47271 9 7.55556
273 0.0202715 17.0213 6.15093 0.406338 12 16.5
276 0.0138161 11.331 1.96909 0.34981 9 8.44444
277 0.0135622 12.1416 2.76881 0.364293 9 12.2222
279 0.0171083 16.5809 5.16907 0.439858 8 7.75
283 0.00419029 3.28811 1.404 0.558119 4 8.5
284 0.033473 28.6939 4.55014 0.259574 20 7.2
287 0.026214 22.8866 4.43237 0.292225 15 6.26667
288 0.0321679 27.3593 4.2469 0.297546 16 9.125
289 0.0169213 17.5185 3.36018 0.301083 13 9.38462
290 0.0285669 24.1833 2.56998 0.221622 23 10.6957
291 0.0219644 18.9644 3.32125 0.278276 17 6.47059
296 0.0154024 12.4267 2.1237 0.324631 10 9.6
297 0.0186102 15.7925 2.7891 0.31926 11 13.4545
302 0.00641867 5.35118 1.67661 0.470701 5 7.6
304 0.00635517 5.22846 1.42283 0.448319 5 7.6
305 0.010756 9.03019 2.01023 0.346892 9 8.66667
312 0.0159116 13.8603 2.35874 0.311835 12 10
313 0.0248797 21.4714 5.91827 0.332414 15 5.06667
314 0.0313774 25.2061 2.51235 0.223497 23 11.4783
319 0.00992851 7.45307 2.08939 0.42309 7 14
320 0.0108767 10.6436 3.69551 0.486342 6 8.66667
321 0.0231688 20.0752 3.00638 0.30285 12 7
324 0.0169187 14.2204 1.79671 0.288022 12 9.16667
325 0.00846139 6.83245 1.7791 0.418913 6 7
326 0.0253548 20.7884 2.88566 0.247016 18 12.1111
327 0.0143079 12.1565 1.8736 0.323477 11 10
329 0.0196559 16.554 2.85639 0.304994 12 8.5
330 0.0132344 11.0537 2.20665 0.335317 10 7.8
332 0.00951056 6.63638 3.15594 0.537524 5 11.6
336 0.0113737 8.5448 2.45229 0.400647 7 10.5714
340 0.0229457 18.6884 3.03029 0.264487 16 8.625
341 0.021087 18.168 1.94606 0.245394 17 11.2941
342 0.0277762 24.2195 3.49238 0.276328 16 8.625
343 0.0123202 9.79191 1.98203 0.341125 10 7.4
344 0.008168 6.73611 1.56179 0.416513 6 14.3333
346 0.00924389 7.66164 2.21723 0.433332 6 4.66667
347 0.0234858 21.7653 2.76899 0.227775 21 9.04762
351 0.00961251 8.20939 2.08606 0.390584 7 5.14286
352 0.0137296 12.0183 3.02998 0.364389 10 10
356 0.014552 12.8032 1.70774 0.277611 13 9.23077
359 0.01945 16.1551 1.688 0.259932 14 8.85714
361 0.0141946 12.118 3.63094 0.393927 9 10.4444
362 0.0378883 33.2966 3.33624 0.226275 25 8.24
364 0.0068938 5.47873 1.21367 0.439638 5 10
365 0.0105439 8.44739 3.67073 0.506165 6 6.66667
366 0.0144993 11.4705 2.95527 0.374146 9 18.2222
367 0.0113392 8.36618 1.7456 0.368488 8 11.25
369 0.0193438 16.3964 3.77359 0.348777 11 6.54545
370 0.00657314 5.87769 1.66664 0.453603 5 9.6
372 0.024565 20.2196 1.77193 0.235293 17 6.35294
373 0.0289798 23.7468 4.79188 0.298954 18 9.66667
375 0.0223406 17.3448 4.3907 0.366758 10 11.2
384 0.0125957 10.8775 1.79586 0.347897 10 13
387 0.022401 16.3262 6.83436 0.477039 8 6.25
389 0.0116472 9.52223 1.72833 0.379683 7 6.57143
390 0.0338687 29.1461 4.34319 0.229466 23 8
391 0.0126941 9.97186 2.09332 0.357057 9 11.5556
392 0.00842767 9.07949 2.553 0.402633 7 11.1429
393 0.0271788 22.0701 2.81794 0.236237 22 10.1818
395 0.00590394 5.13451 2.1059 0.5415 5 8.8
396 0.0164851 12.781 2.35726 0.321654 10 6.8
397 0.0186739 14.3808 2.08308 0.291343 12 11.8333
398 0.00846467 6.99172 1.21077 0.370922 7 7.14286
401 0.0243337 20.9506 2.40082 0.248571 17 9.88235
402 0.0344092 28.8513 11.0497 0.42864 12 5
403 0.0149986 13.0252 2.45127 0.317458 11 7.45455
404 0.021911 19.4423 3.10643 0.249224 19 11.0526
405 0.0229734 19.372 2.73464 0.269056 15 8.4
407 0.0108806 9.22662 1.87807 0.344865 9 9.11111
410 0.016389 13.4937 3.73024 0.360958 11 8.18182
411 0.0189522 15.107 2.77679 0.330422 12 9.16667
413 0.0332431 28.6121 3.12305 0.234705 21 9.71429
415 0.0264352 23.2429 2.36767 0.238529 19 7.36842
416 0.0128107 10.4869 2.94221 0.407554 8 6.5
420 0.0196769 16.7184 2.48322 0.28913 14 8.14286
421 0.0171456 14.704 2.20096 0.318443 10 13.8
422 0.0134972 11.1031 1.56749 0.305357 11 11.0909
426 0.0242229 22.0727 3.28482 0.275253 15 5.86667
427 0.0142608 12.4096 4.56587 0.416874 10 11.2
428 0.0106156 8.20754 5.74514 0.711257 5 6.4
430 0.0197977 16.6211 2.56427 0.296499 12 7.5
431 0.00934713 8.04988 2.09423 0.414557 7 7.14286
432 0.0203464 17.5373 5.88151 0.412321 9 8.66667
436 0.0202242 18.1655 2.89205 0.298198 13 7.84615
438 0.0174787 15.0167 1.67487 0.282665 12 8.16667
440 0.0102281 8.59082 1.61458 0.347749 9 7.77778
442 0.0173434 14.7881 4.43107 0.370787 11 7.45455
443 0.0269023 22.1738 3.23344 0.254059 17 7.05882
444 0.0269887 21.9891 7.30428 0.374402 16 10.375
445 0.00785006 6.82434 1.27986 0.401226 6 11
447 0.0489616 40.4172 3.5747 0.191518 28 8.78571
448 0.0121066 10.5822 1.83202 0.320251 11 12.7273
450 0.0105428 8.90075 1.3451 0.330764 10 11.4
456 0.00942319 8.16259 1.89349 0.379195 8 8.5
463 0.0162037 13.9056 4.40061 0.446605 7 7.42857
465 0.0136106 10.7792 2.9557 0.381231 8 11.5
466 0.0255075 22.188 5.23961 0.321802 14 8.28571
469 0.0209 15.5108 5.36646 0.416074 11 8.90909
471 0.00729436 5.47732 1.50977 0.436549 7 11.1429
473 0.0112634 9.34487 1.78334 0.350103 9 7.33333
474 0.0182757 15.5127 3.63146 0.341062 11 6.54545
477 0.0268131 22.1523 2.92907 0.266001 17 9.41176
479 0.00507991 3.80337 1.38261 0.516782 5 6.4
480 0.0180883 15.4038 2.52689 0.292937 12 11.3333
481 0.0126782 9.59438 3.48783 0.470491 6 7.33333
482 0.0168864 14.0728 3.32775 0.348913 11 5.45455
483 0.0220117 17.7763 3.5165 0.353491 13 10.4615
484 0.0191837 16.6678 4.75241 0.347541 13 9.07692
486 0.0223328 18.5919 2.56586 0.258512 16 6.625
488 0.0228166 19.4166 3.42018 0.286869 14 5.71429
490 0.0125832 10.6215 2.28336 0.393162 7 7.71429
491 0.0161464 13.0891 1.87888 0.2935 12 8.66667
493 0.0113839 10.5144 1.95521 0.349883 9 7.77778
501 0.0155869 13.476 2.44218 0.354838 10 12
502 0.0232654 18.6991 2.63656 0.285114 14 7.14286
504 0.0175943 14.6057 1.95679 0.280433 13 8.30769
507 0.0308796 25.5081 5.09064 0.334777 12 7.33333
508 0.00835443 6.58639 1.23091 0.360377 8 7.5
510 0.012741 10.7749 2.11137 0.355862 9 11.1111
511 0.0163447 13.2856 2.54198 0.304413 12 10.1667
514 0.00821271 6.68728 2.1315 0.459279 5 5.2
517 0.0169382 14.9 2.06939 0.261837 16 13.375
520 0.00617282 4.37881 0.971718 0.401905 7 10
521 0.0268748 23.0845 1.98511 0.212802 21 7.61905
522 0.00568996 5.40282 1.55923 0.42929 6 8.33333
530 0.0178909 17.2356 3.61702 0.333808 12 9.83333
531 0.0152088 13.1076 1.39986 0.260877 15 13.4667
532 0.0144567 11.6902 1.89216 0.308405 11 7.09091
533 0.0193579 16.7397 4.62037 0.353379 12 9.16667
535 0.00506405 4.12664 1.31107 0.468966 5 18
537 0.00933497 7.29115 1.50965 0.386821 8 10
539 0.00919046 7.61768 1.42696 0.360584 9 8.44444
540 0.0119467 10.1517 1.54483 0.302969 11 8.72727
542 0.0206065 17.3029 4.8631 0.377381 10 4.2
543 0.0101455 8.99489 2.51024 0.423556 6 10.6667
544 0.00710618 5.84006 1.32526 0.408098 6 9.66667
547 0.00878057 7.35417 1.31824 0.396456 7 13.7143
548 0.0239402 20.8472 5.18874 0.329028 16 9.125
552 0.0230024 19.2168 3.48329 0.315806 14 11.2857
553 0.0131346 11.5435 2.39122 0.31009 13 10.7692
557 0.0197597 15.493 4.11492 0.340775 13 10.6154
558 0.0223173 18.7885 1.9209 0.247136 16 8.125
560 0.0210502 17.3935 3.13047 0.304353 12 6.83333
562 0.0255189 20.4179 2.33285 0.25398 17 9.17647
563 0.0216074 18.5118 2.00204 0.229664 19 8.10526
567 0.00874286 7.58102 1.4659 0.382881 7 10
575 0.0206041 17.0783 3.21342 0.308853 12 6.66667
576 0.0373755 30.1847 3.22095 0.222587 22 8.72727
577 0.0279954 22.2905 2.65821 0.248555 19 10
579 0.0212406 16.5672 3.03509 0.299264 14 9.42857
581 0.0139087 12.2674 3.43221 0.383129 10 15.6
582 0.0121095 10.0218 1.72598 0.337498 9 6.44444
588 0.0215486 17.8694 3.19773 0.267833 17 11.1765
589 0.0138912 11.8731 4.17674 0.426431 9 8
590 0.0238033 19.1292 2.89008 0.29708 14 5.28571
592 0.022362 18.7049 2.42653 0.258143 16 9.375
594 0.0171887 14.1161 1.3839 0.271294 15 8.53333
595 0.022569 17.5691 2.34131 0.272891 14 8
596 0.0124684 9.33647 2.52651 0.382569 8 8.5
604 0.0148936 12.0989 4.78879 0.477534 8 6.5
608 0.012517 10.6061 2.54705 0.389639 7 7.14286
611 0.0054661 4.72609 1.32898 0.476214 5 9.2
613 0.0104526 10.1261 1.98689 0.36604 9 6.44444
614 0.00886762 7.76165 2.19188 0.434447 6 10.6667
615 0.00930874 8.23948 3.50327 0.50945 5 7.6
617 0.0194436 17.032 4.29217 0.351586 13 7.53846
619 0.0163619 14.9984 2.15656 0.326229 12 7.33333
620 0.0117786 10.2713 1.5374 0.321462 10 9
621 0.00894286 6.91558 3.05647 0.522037 5 12.8
623 0.011653 9.23939 1.4825 0.341066 10 10.8
624 0.0127567 10.1544 2.61956 0.42266 7 9.14286
625 0.0151384 13.9733 4.40866 0.46704 8 8
627 0.0129831 11.418 2.36341 0.36222 8 9
628 0.0095931 6.75066 1.52801 0.442496 5 8.8
630 0.0135819 11.5394 1.55036 0.305563 11 11.8182
631 0.0187552 14.9453 3.16284 0.336946 10 8.8
633 0.00914642 7.82489 1.77629 0.384329 7 10.5714
634 0.0207658 17.844 2.84527 0.287877 15 10.2667
635 0.021874 17.9517 2.76914 0.274287 15 7.06667
636 0.0153941 12.1589 1.54609 0.304313 11 8.72727
637 0.0302308 25.1203 4.46692 0.286081 18 9.66667
638 0.0192514 16.9544 1.90485 0.255292 15 8.66667
639 0.0128756 10.2334 1.85321 0.340099 9 15.3333
640 0.0298391 22.9803 3.19385 0.268215 15 7.06667
641 0.0208213 16.5821 2.29158 0.274414 15 7.6
642 0.0255547 22.6398 2.87865 0.260902 18 11.4444
644 0.00636505 5.41615 1.51156 0.455899 5 3.2
648 0.0131131 10.0129 1.90166 0.350106 9 6.66667
650 0.0275371 24.3385 3.41949 0.254828 20 10.1
653 0.0282449 22.4458 2.83858 0.248315 18 8.44444
656 0.0165356 13.6325 1.95186 0.304537 12 8.33333
658 0.00453691 3.95932 0.998358 0.444487 5 8.4
660 0.0256054 20.3941 4.19513 0.275861 20 8.7
661 0.00798184 6.36004 1.86992 0.45072 5 9.2
664 0.0144674 11.9174 1.50718 0.277067 13 11.0769
665 0.0382878 35.6657 7.6052 0.29346 18 7
666 0.0115389 9.30231 2.25933 0.379061 9 6.88889
668 0.0251105 22.4319 4.56028 0.297969 14 7.28571
669 0.0171648 15.0675 2.54752 0.3178 12 9.83333
670 0.0107246 8.67719 2.41119 0.417024 7 3.71429
671 0.0133756 11.6681 1.70624 0.306731 11 6
674 0.022101 18.0959 4.74988 0.386004 11 5.09091
676 0.00780278 6.21576 1.48712 0.445528 5 9.2
677 0.00937026 8.5356 2.00457 0.383861 8 9.25
678 0.0194227 16.4256 4.7062 0.418041 9 7.33333
679 0.0171289 15.4643 3.40942 0.337387 12 8.83333
680 0.0210265 18.0205 2.51075 0.257949 17 11.7647
682 0.0093887 8.16908 1.56226 0.367963 8 10.5
683 0.0137416 11.7852 1.89083 0.328579 10 6.8
685 0.00499665 4.87018 1.25426 0.445718 5 12.8
686 0.0255946 22.1977 1.94741 0.219337 22 10.7273
689 0.0107101 9.80211 1.75043 0.335872 10 11.2
691 0.0408678 34.9425 3.66277 0.244096 20 8.2
692 0.0268315 22.2412 3.23356 0.273229 17 8.11765
693 0.0216158 18.0768 1.7606 0.248018 16 7.125
694 0.0283657 23.2819 5.73824 0.303197 18 9.22222
696 0.0198142 16.2752 4.81092 0.400963 9 6
698 0.0144135 11.8175 1.93356 0.330576 9 4.66667
699 0.00748192 6.28476 1.37227 0.412821 7 6.28571
701 0.0349685 28.1843 5.25969 0.319087 13 7.07692
702 0.022619 18.3915 3.76532 0.310459 15 10.8
703 0.0239648 19.8448 2.93918 0.300759 13 5.38462
704 0.011523 9.34953 2.05191 0.404325 7 9.71429
705 0.00908156 7.26484 1.40016 0.373438 7 10.2857
707 0.0044832 3.4251 0.737374 0.439346 5 9.2
708 0.0116048 9.33458 2.08007 0.366537 9 6.88889
710 0.0070611 7.4438 2.60228 0.467806 6 7
712 0.0236821 19.144 4.60164 0.317049 15 8
715 0.0198032 18.4944 2.36254 0.244629 18 9.88889
717 0.00492172 4.68777 1.27721 0.457184 5 5.2
719 0.0176515 14.6634 3.48872 0.318619 13 6.61538
720 0.0146708 12.3815 3.97589 0.429115 8 7.25
721 0.0196287 15.9839 3.54119 0.36391 12 8
722 0.022695 21.9018 5.137 0.388285 10 4.8
723 0.0176589 14.1531 3.27973 0.399833 7 8.28571
726 0.00553874 4.50499 1.1859 0.41787 6 9.33333
730 0.0076253 6.2756 1.36912 0.39597 7 11.7143
731 0.00541191 4.3704 1.31945 0.478956 5 6
732 0.00594913 5.0264 1.43785 0.459419 5 14
733 0.0222476 18.3819 5.14945 0.344202 13 9.69231
734 0.00541516 4.37574 2.19559 0.582631 4 7.5
735 0.0233175 20.5707 11.1965 0.561086 10 8
736 0.0207649 17.5537 1.73325 0.238874 18 9.22222
737 0.0115231 9.41089 1.84047 0.349897 9 6.88889
739 0.0255369 20.4944 3.16713 0.271656 18 13.4444
742 0.016231 14.0327 5.05581 0.422086 10 11
744 0.0246237 22.0823 3.44671 0.278869 16 8.125
746 0.0121081 9.25694 1.86556 0.339463 10 8.8
747 0.0244775 20.5828 2.19408 0.251072 17 9.05882
749 0.0159452 12.376 1.97996 0.322277 12 9.66667
750 0.0215669 18.6956 2.40853 0.272985 14 9.28571
752 0.0226758 19.1206 3.12106 0.279798 16 10.125
754 0.0138227 10.1842 4.15889 0.470445 7 4.85714
755 0.0352213 30.2209 5.87082 0.341992 12 5.66667
756 0.0132326 10.323 2.01966 0.348413 10 9.6
757 0.0226304 18.5917 3.04958 0.291124 14 12
759 0.0222657 18.4605 2.1826 0.262667 16 9.5
761 0.0125059 11.3592 2.90386 0.366885 10 7.6
763 0.0115566 10.4147 2.86003 0.385184 9 9.33333
764 0.0221249 20.144 4.55175 0.317221 14 7.57143
766 0.0151912 14.4485 2.02944 0.284679 13 9.53846
769 0.0182385 16.1353 1.41666 0.241412 16 11.125
771 0.00947667 8.00748 1.72956 0.381104 8 7.5
772 0.0113634 9.81514 3.23515 0.441521 6 7.66667
773 0.0198964 15.4804 2.61127 0.300293 12 8.33333
774 0.029058 23.8256 3.79856 0.26539 18 6.77778
777 0.00873653 7.07084 1.31147 0.363501 8 13.25
778 0.0208872 15.5295 3.27307 0.304408 13 8
780 0.0235438 17.7463 4.43624 0.347628 12 8.33333
782 0.0183508 16.7004 2.3014 0.263361 15 8
786 0.0150997 12.0955 2.66626 0.372347 9 5.11111
787 0.00940021 8.43622 2.96655 0.469199 6 7.66667
788 0.0135549 11.5574 1.83332 0.327327 10 10.4
790 0.0220717 17.6692 2.68619 0.264351 17 7.17647
791 0.0250463 20.9851 2.2887 0.233504 19 11.2632
792 0.0185211 15.4061 2.92169 0.32244 11 5.27273
793 0.0219882 18.6219 2.43455 0.269341 19 9.05263
794 0.00610287 6.19801 1.65577 0.508392 6 16.3333
798 0.013341 10.9459 4.76793 0.530166 5 4.8
799 0.0137951 11.7381 1.89664 0.318703 10 6.8
801 0.012779 10.75 1.92905 0.305754 12 9.83333
804 0.0256574 21.8302 4.92633 0.359261 12 8.5
805 0.0134116 12.9646 3.02689 0.368071 9 5.11111
806 0.00649269 6.66204 1.4298 0.403842 6 8.66667
808 0.0239443 19.7286 4.18628 0.307653 15 11.4667
810 0.00719397 6.0256 1.42847 0.421836 6 9.33333
811 0.0308392 24.8139 2.36365 0.228301 20 10.5
812 0.0308367 26.4876 9.20335 0.378061 17 8.70588
814 0.0218049 17.0011 2.73736 0.273236 16 9.375
815 0.012441 11.1127 4.58385 0.4741 7 12.8571
818 0.0124886 10.8807 1.67177 0.332599 10 8.2
820 0.019574 15.2256 2.93645 0.31799 11 13.8182
821 0.0180161 14.5219 4.22533 0.362479 11 11.6364
824 0.0137304 10.9665 6.0051 0.588434 6 10.3333
825 0.00808697 6.9396 1.55132 0.383267 7 13.4286
826 0.0192299 14.7106 4.05445 0.387835 9 8.22222
827 0.0195553 17.9879 3.74056 0.353527 12 6.83333
828 0.00815701 6.40561 1.31819 0.383929 7 11.7143
829 0.0140681 11.8055 2.17623 0.333141 10 6.2
831 0.0083825 7.03087 1.67082 0.442315 5 26.8
832 0.0155148 13.3936 3.43177 0.401456 8 11
833 0.0202353 17.2756 5.46918 0.398467 10 6.6
834 0.0147102 11.5541 2.42158 0.332604 10 6.4
835 0.0147834 14.2915 5.74365 0.479859 8 5
836 0.0198391 16.6664 3.10839 0.311267 12 7.66667
837 0.0152061 12.8955 4.26976 0.395518 10 8.4
838 0.00588533 5.13197 1.38272 0.453908 5 25.2
839 0.0174536 14.7507 2.53671 0.299718 13 11.2308
840 0.0209768 18.7533 2.27594 0.240226 19 12.1053
843 0.0179023 15.1607 2.73771 0.299378 14 12.7143
844 0.0210494 17.8197 2.43191 0.297635 12 4.83333
845 0.00992406 8.42437 2.25555 0.39383 8 10.75
850 0.0436791 34.895 4.8521 0.251264 22 8.09091
854 0.0229542 19.7136 3.98212 0.29689 14 11.8571
858 0.0135624 11.0751 4.40869 0.458132 8 7.5
