eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
2 0.0824765 68.7845 7.86365 0.205514 38 9.57895
3 0.0277307 21.8983 3.20639 0.2872 14 8.57143
5 0.0422894 34.1903 4.34579 0.202984 30 12.8
6 0.0943145 77.3579 17.5683 0.30866 38 10.2632
9 0.0848369 72.7089 9.16969 0.230273 35 9.54286
12 0.0256316 21.9749 6.3208 0.355187 13 8.61538
14 0.112823 94.4219 12.4897 0.233606 35 8.05714
15 0.0591694 50.7157 4.80001 0.182276 36 12.5556
16 0.116028 100.228 20.2418 0.228912 53 13.1321
17 0.0232573 19.9351 2.8253 0.256899 16 9.375
18 0.0263409 22.2827 3.09496 0.258567 18 8.66667
20 0.069178 58.0836 3.4823 0.168225 43 10.8372
21 0.0418844 35.8262 4.81427 0.248305 22 13.5455
23 0.0357035 28.6701 3.67415 0.233742 21 10.7619
25 0.0166582 14.2217 2.39846 0.29237 13 8.61538
26 0.0790891 66.3504 6.56995 0.18429 41 9.80488
30 0.121421 104.106 8.54696 0.157498 55 8.65455
31 0.0450339 38.378 3.35842 0.18503 33 9.69697
34 0.0302708 26.0644 2.39897 0.244279 21 10
35 0.0344484 28.6646 6.71807 0.282817 21 8.95238
37 0.113399 93.7779 9.22932 0.172551 52 11.8462
41 0.0639959 53.202 8.88647 0.253293 29 8.82759
42 0.0528637 44.1938 5.94128 0.198782 34 12.1176
44 0.106824 90.5365 10.0381 0.162842 57 11.5789
45 0.0932486 79.5709 7.40181 0.177044 46 8.56522
48 0.0605919 48.9416 15.1336 0.390462 21 12.7619
49 0.0294703 27.561 2.74824 0.204701 25 6.72
50 0.012754 10.3447 2.00652 0.307253 12 7.66667
51 0.100806 88.4122 7.49591 0.171657 48 8.75
53 0.0284088 26.1701 10.7365 0.449288 13 10.4615
54 0.0956025 82.3397 6.48854 0.165674 54 11.4074
56 0.0921754 77.6718 5.86464 0.169303 49 11.5918
58 0.0430383 35.5689 4.73477 0.230557 26 9.92308
59 0.0280293 25.4543 7.19235 0.327175 18 9
60 0.0421799 35.6492 3.84104 0.189568 30 8.46667
61 0.0656315 55.4231 13.999 0.332213 26 10.0769
