eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
179 0.0309852 25.0376 4.39162 0.277774 17
181 0.152129 127.688 6.77381 0.121837 75
182 0.0972162 79.4156 9.29606 0.213789 45
184 0.143441 124.828 11.65 0.214121 45
186 0.0834237 69.4364 5.63901 0.160883 51
187 0.0173772 14.8097 4.86553 0.396096 10
188 0.122163 102.931 10.2824 0.208619 43
189 0.0689845 56.7098 4.67614 0.165033 42
190 0.0148752 12.3017 1.79059 0.295803 13
191 0.0145465 11.6868 1.76816 0.296099 12
192 0.0848153 72.0797 8.18759 0.230623 37
193 0.14597 115.633 7.91473 0.15243 60
197 0.104513 86.8305 8.02764 0.158362 53
198 0.143449 121.609 15.1007 0.224399 45
202 0.142219 119.745 9.72767 0.160217 62
205 0.134106 108.516 10.1295 0.178215 52
206 0.148424 114.683 22.0786 0.293472 32
207 0.153583 126.094 13.0814 0.187926 56
208 0.121147 100.446 7.47974 0.183572 48
210 0.0735714 61.6124 5.3752 0.161338 43
211 0.01207 8.51995 2.10739 0.422791 6
212 0.0263028 22.9567 10.7118 0.51009 12
213 0.101727 83.9934 9.57301 0.195246 44
214 0.029822 25.0082 3.20567 0.232429 22
215 0.00725278 6.6464 1.35261 0.381307 7
216 0.0212466 16.8647 1.63968 0.257856 15
217 0.150421 124.357 9.21679 0.160957 50
218 0.136579 113.698 10.7891 0.173086 54
219 0.14803 121.762 8.19201 0.115224 73
220 0.0634056 54.3687 4.82446 0.180291 38
221 0.0407044 33.7228 3.15685 0.213741 24
222 0.0792183 63.2101 9.62706 0.234965 30
223 0.133378 118.223 9.23143 0.169268 49
227 0.169262 140.367 13.2936 0.160114 60
228 0.162724 135.981 8.12286 0.132661 67
229 0.0664468 58.7759 4.66709 0.179596 35
230 0.127642 106.768 7.23336 0.135051 68
232 0.216527 162.027 34.2562 0.303106 45
233 0.107042 88.6538 10.1254 0.196105 45
234 0.0673234 55.4825 5.65142 0.205012 37
237 0.0348448 31.1309 3.44739 0.227792 23
238 0.0160335 13.5975 1.37357 0.271823 13
240 0.0208188 17.7365 2.29858 0.256606 17
241 0.14621 119.112 11.8197 0.174837 58
244 0.0658868 55.2356 5.79358 0.180231 42
245 0.0212079 17.5839 5.08755 0.364323 11
246 0.145121 124.927 11.0916 0.160378 60
247 0.14198 120.759 9.00115 0.160975 63
248 0.0867857 75.805 9.94268 0.188823 47
250 0.0428236 37.3876 5.38167 0.212006 27
251 0.0211222 18.3273 2.0095 0.244621 17
255 0.132795 110.372 6.46503 0.122485 68
256 0.16515 137.233 6.36338 0.123647 75
257 0.15537 135.68 15.2136 0.16388 65
259 0.0616114 51.2174 6.51095 0.19116 34
260 0.0716975 65.5827 10.0168 0.25584 32
261 0.0341855 28.318 1.89067 0.180614 27
262 0.0200926 16.6308 3.20945 0.329157 15
263 0.0968992 83.3119 9.59411 0.17039 58
265 0.146565 121.784 6.64238 0.127977 71
266 0.0881239 77.1059 6.32005 0.165872 53
267 0.0937156 80.6839 7.72124 0.190667 42
271 0.152018 127.793 27.7756 0.249404 56
273 0.0848168 69.2959 6.52293 0.201582 37
275 0.123372 107.057 12.9559 0.169474 63
276 0.00915669 8.61544 2.22262 0.395294 9
279 0.0770243 66.5485 8.27435 0.184114 47
280 0.144453 119.069 8.87296 0.13808 68
281 0.0405881 34.6711 16.6232 0.490515 20
283 0.0343492 26.9159 7.15037 0.334776 17
284 0.145745 126.486 10.1797 0.143078 69
288 0.0615911 52.3307 5.05773 0.191094 34
290 0.114186 95.6246 23.9 0.287204 41
291 0.00952436 7.71089 2.24579 0.460485 5
293 0.150179 127.826 10.8617 0.162597 57
296 0.180738 150.96 12.7235 0.141286 74
297 0.0317837 25.9492 4.59019 0.297604 16
298 0.062314 50.1519 3.6955 0.15183 41
299 0.0478228 40.5078 3.03701 0.181269 34
302 0.144101 119.07 7.19596 0.152979 55
303 0.16419 134.437 7.06017 0.121442 78
305 0.0212294 17.0811 1.57984 0.245874 16
306 0.0980595 88.3764 15.1173 0.218639 42
307 0.109483 80.8621 32.2033 0.403974 40
309 0.0144271 10.9357 3.38579 0.41611 8
310 0.0852457 77.0145 11.3621 0.204693 44
312 0.156144 129.87 11.8533 0.163005 62
313 0.0161709 13.058 2.00366 0.304711 12
