eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
68 -88.3333 -63.2785 -25.4632 0 0.194692 -0.666598 -0.719543 15.511 0.0439857
69 6.94578 120.963 -62.4885 0 -0.38232 -0.613508 0.69097 15.511 0.0715665
70 62.7188 162.758 -29.8058 0 0.834525 -0.516873 -0.190815 15.511 0.0431683
71 31.2383 147.104 19.2268 0 0.863967 0.174336 0.472407 15.511 0.0668294
72 58.7684 84.2071 -115.529 0 -0.0364569 -0.99256 -0.116172 15.511 0.0657032
73 -130.987 71.3721 52.064 0 -0.809988 -0.486789 0.327041 15.511 0.0454844
74 -32.1138 -146.456 -118.177 0 0.147706 -0.792075 0.592284 15.511 0.0699842
75 -43.3267 104.023 -54.4408 0 -0.692474 -0.528785 0.490781 15.511 0.0314506
76 -116.425 -78.978 -60.2775 0 -0.162377 0.213664 -0.963318 15.511 0.0579346
77 -17.4462 -93.885 123.819 0 0.629926 0.657622 -0.413192 15.511 0.0640385
78 130.189 -190.731 61.0791 0 -0.919134 0.303088 -0.251656 15.511 0.0479105
79 40.1501 -21.1986 -120.411 0 0.0512263 0.451989 -0.890551 15.511 0.0439445
80 102.283 -173.198 30.4645 0 -0.118326 -0.933895 0.337399 15.511 0.035918
81 -103.267 -88.5434 -18.3348 0 -0.515861 -0.450179 -0.728853 15.511 0.0550501
82 51.92 -13.3254 57.5865 0 -0.949081 0.229775 -0.215519 15.511 0.0732193
83 -59.8456 -172.209 87.9591 0 -0.475919 0.863067 -0.169164 15.511 0.052946
84 116.525 163.202 53.1553 0 -0.411479 -0.425881 -0.805798 15.511 0.0497867
85 -19.0707 110.275 103.368 0 -0.228581 -0.972763 -0.0385032 15.511 0.203043
86 14.8471 117.535 -34.4671 0 -0.919168 0.305714 0.248332 15.511 0.0607267
87 46.7795 -134.746 -37.4585 0 -0.443086 -0.0768628 0.893178 15.511 0.0765055
88 -117.43 78.1156 58.7149 0 -0.635599 -0.771823 0.0174218 15.511 0.0411659
89 40.7495 -41.5851 18.0159 0 0.462352 0.798596 0.385325 15.511 0.0699766
90 -62.365 -103.193 -119.564 0 0.38394 0.0760065 -0.920225 15.511 0.0638184
91 -48.5292 89.62 90.5388 0 0.852699 -0.148179 0.500946 15.511 0.0620463
92 -8.21811 -117.338 -8.37554 0 -0.318274 0.911357 -0.261018 15.511 0.0742423
93 96.5868 -145.651 49.8248 0 -0.115398 0.744554 -0.657512 15.511 0.0603698
94 -109.936 85.107 47.9819 0 0.464402 -0.300422 0.833113 15.511 0.0673202
95 16.2397 70.4152 -98.9227 0 -0.787375 0.157298 -0.596068 15.511 0.064613
96 7.73914 43.051 -69.5591 0 0.883769 0.370536 0.285756 15.511 0.0461596
97 119.769 10.3675 -87.2468 0 -0.23188 0.496648 -0.836405 15.511 0.0729092
98 12.2812 -31.8451 140.068 0 0.342889 0.126952 -0.930758 15.511 0.0652432
99 8.86338 -0.907848 64.3206 0 -0.140033 0.27194 0.952071 15.511 0.0426707
100 -31.7228 -141.973 85.6379 0 0.252124 0.917101 -0.308803 15.511 0.0635583
101 94.6593 -30.6329 27.3961 0 0.8909 0.234782 0.388813 15.511 0.0732386
102 -64.1423 -33.3485 107.749 0 0.20079 -0.844063 -0.497233 15.511 0.059924
103 49.5071 -67.1438 9.08266 0 0.513281 0.00519377 0.858205 15.511 0.0346264
104 -90.8194 -45.5332 3.61983 0 0.99102 0.0843829 -0.103725 15.511 0.0378858
105 91.5793 -89.6107 46.1907 0 -0.870451 -0.41597 -0.26322 15.511 0.0458556
106 -39.562 -28.2523 -30.9578 0 -0.63376 0.770077 -0.0730031 15.511 0.0644606
