eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
1 0.0583813 51.1305 8.30845 0.224825 32 9.4375
4 0.00735554 5.79299 1.78175 0.466293 5 7.6
5 0.00770782 6.57859 1.95133 0.4287 6 8.66667
7 0.0682123 56.5165 5.38643 0.182289 39 8.5641
8 0.0277623 23.6997 3.15762 0.253779 19 10.2105
11 0.0498723 41.3707 7.4181 0.289226 23 8.95652
13 0.0373909 30.885 2.42688 0.184258 28 10.7143
14 0.069976 55.1856 15.0501 0.290263 36 12.5556
15 0.0303776 25.8665 4.0138 0.249966 19 9.57895
17 0.0422814 36.5374 3.59326 0.199899 26 9.23077
18 0.0233795 19.3473 2.61746 0.280431 15 9.46667
19 0.0102 7.93355 1.41587 0.355508 9 10.4444
20 0.0376614 32.1611 3.74582 0.204807 28 9.07143
22 0.0250646 21.4963 2.59831 0.220979 21 9.71429
23 0.0590725 52.3544 9.84898 0.263471 27 7.18519
24 0.0202592 18.9876 5.51418 0.373589 12 5.16667
25 0.0224965 17.8578 2.47366 0.248392 17 15.8824
26 0.044665 40.2181 6.7348 0.266899 23 7.65217
27 0.0317802 26.3056 5.06225 0.261098 21 11.3333
28 0.0440144 36.254 2.70875 0.186256 28 8.28571
30 0.0145378 12.7015 1.68351 0.277288 13 12
31 0.0291129 24.6736 4.62348 0.263166 20 11.8
32 0.0440903 37.9387 5.90264 0.245787 25 10.8
33 0.0578727 51.7902 5.99928 0.202104 33 8.36364
34 0.0303673 24.6038 2.47443 0.216872 25 10.48
35 0.0578362 49.7771 7.19418 0.2313 27 10.3704
40 0.0281119 23.6071 2.06231 0.214709 21 10.5714
41 0.0500134 43.2255 4.31006 0.194364 34 10.1765
42 0.0532632 44.5594 4.70484 0.19213 31 9.22581
43 0.0279557 22.8672 5.13075 0.297315 18 6.55556
45 0.0255949 21.2209 2.05426 0.222989 21 10.0952
47 0.0429959 37.1204 3.6919 0.207617 27 7.18519
48 0.051578 41.8124 3.96516 0.236813 22 8.81818
49 0.066452 56.8199 10.7729 0.228187 35 10.9714
51 0.0183937 14.8597 1.48679 0.250505 16 10
53 0.0384622 32.2798 16.0757 0.525314 12 8
54 0.0372091 32.6515 4.55224 0.216806 29 13.2414
55 0.0474433 38.4568 11.9602 0.392488 17 8.47059
56 0.0210571 16.9486 3.2008 0.27935 16 11.875
57 0.0559824 44.1096 6.92523 0.221136 31 7.54839
60 0.00582888 5.87137 1.83144 0.461228 5 7.2
62 0.0495005 43.9625 4.78643 0.22409 26 9.92308
66 0.00972048 7.85247 1.44332 0.362629 8 12
67 0.0340601 29.4063 3.6561 0.241802 25 11.2
70 0.0321106 29.2203 4.76355 0.300167 14 5.71429
73 0.0229027 19.3319 2.62292 0.266405 16 13.75
74 0.0229307 19.7904 4.89369 0.374042 11 8.36364
78 0.0710159 61.4207 6.38619 0.19441 37 9.72973
79 0.0546611 44.619 3.50057 0.2053 27 8.88889
82 0.0538399 45.9474 8.13388 0.287569 25 9.92
83 0.0147591 12.3583 1.88042 0.321495 10 11
84 0.0124997 11.0374 4.65111 0.469437 8 6.5
87 0.0627845 53.3387 4.60655 0.180189 37 8.54054
89 0.0555214 46.6544 5.05059 0.173701 39 9.64103
90 0.0452535 40.2772 6.08508 0.234541 27 8.37037
91 0.0150599 12.8695 1.90757 0.287888 13 8.46154
92 0.0435309 38.0813 5.36395 0.213943 27 8.37037
97 0.0433819 36.3393 5.59034 0.242226 24 8.41667
98 0.0276458 23.1889 6.26749 0.342496 15 8.8
101 0.0258943 21.5176 6.14012 0.342596 15 9.33333
103 0.0169017 12.3043 6.33935 0.544877 8 8.25
104 0.0482097 39.0815 3.6796 0.222693 25 9.44
106 0.0731637 58.7993 5.34985 0.200535 35 9.65714
107 0.040115 31.7669 2.8632 0.230934 22 8.18182
109 0.0575262 45.2797 9.20257 0.260353 27 8.44444
111 0.0219612 18.4476 3.55348 0.312767 15 11.2
112 0.0437022 37.0714 5.4998 0.237796 28 10.2143
113 0.0185069 15.2383 2.67139 0.29993 13 13.3846
116 0.0343336 28.8648 3.38231 0.228232 21 13.619
118 0.0583388 50.1824 5.5995 0.209062 34 11.5294
119 0.04025 37.3017 12.234 0.356507 22 8.45455
122 0.020545 16.4694 3.60889 0.34645 12 9.33333
124 0.00882927 7.08044 1.61019 0.389614 7 14
125 0.0439377 35.7117 7.47308 0.259292 26 8.61538
127 0.0195948 16.1213 2.24149 0.25437 19 7.26316
128 0.0610447 50.7068 4.37453 0.189042 34 8.11765
129 0.0503614 39.9776 2.94594 0.18392 31 7.93548
132 0.0255304 21.7506 2.50057 0.260431 16 9.375
133 0.0357496 28.4701 5.23822 0.253545 24 7.91667
134 0.00589323 5.55335 1.96185 0.485847 5 7.2
137 0.0630343 56.5303 4.15224 0.172885 38 9.89474
140 0.0267168 21.1569 2.69574 0.261434 19 11.6842
141 0.0262134 21.3383 2.34573 0.233631 18 8.11111
142 0.0190314 16.8131 6.353 0.452856 9 5.77778
143 0.0492255 40.3305 3.8997 0.194732 31 9.80645
144 0.0250299 19.9325 2.61569 0.256873 17 8.23529
145 0.0480986 38.7851 4.16168 0.197535 28 10.5
146 0.0137409 11.2538 6.01334 0.570632 6 8
147 0.0582441 50.8509 5.66964 0.220467 33 10
148 0.0440261 38.3457 10.9814 0.340969 25 9.04
149 0.0542274 44.3256 4.54717 0.19237 35 10.8571
150 0.0137252 12.1214 1.93241 0.314066 11 14
