eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
0 -146.755 -101.777 7.44829 0 0.236121 -0.740699 -0.628977 5.511 0.0205771
1 -44.0012 46.3902 33.1747 0 0.270398 0.639338 -0.719814 5.511 0.0253716
2 -84.587 -54.2521 113.565 0 -0.0832634 -0.893267 -0.441749 5.511 0.0208571
3 -72.4534 -103.348 121.383 0 -0.539536 0.833213 0.121065 5.511 0.0184458
4 8.09594 150.353 120.721 0 -0.855158 0.258802 -0.449138 5.511 0.0217976
5 -1.20285 137.008 -26.9181 0 0.120551 0.616469 0.778096 5.511 0.149577
6 -89.0121 163.239 -94.114 0 0.142527 -0.80381 0.57756 5.511 0.0161406
7 57.8753 13.2779 -51.2416 0 -0.0783263 0.978079 0.19294 5.511 0.0196957
8 -4.93391 -27.0875 4.03309 0 0.381199 0.908261 0.172481 5.511 0.0153067
9 -28.2722 -158.732 -140.403 0 0.110213 -0.606803 0.787174 5.511 0.0217868
10 -85.2881 193.153 39.5212 0 0.357642 0.819459 0.447861 5.511 0.0210431
11 66.0744 -124.897 -39.158 0 -0.805739 -0.079032 -0.586975 5.511 0.0214306
12 -62.3811 -91.0091 -80.2412 0 -0.665027 -0.303934 0.682175 5.511 0.00154191
13 -15.7365 -18.2433 -10.213 0 0.8658 0.463449 -0.188694 5.511 0.0141933
14 46.2306 137.845 -58.464 0 0.307006 -0.919366 0.245996 5.511 0.0179577
15 -97.2456 100.858 7.55085 0 0.0021592 -0.98202 0.188765 5.511 0.0215769
16 -38.8223 -58.0232 133.504 0 0.86552 -0.417824 0.276223 5.511 0.0210484
17 -4.11145 29.0193 38.4666 0 0.105778 -0.367982 -0.923797 5.511 0.0126898
18 79.4937 -70.7331 -3.90501 0 -0.595313 -0.802725 -0.035156 5.511 0.0194043
19 74.8217 134.865 5.67473 0 0.392154 0.919555 0.0251738 5.511 0.0139126
20 24.5765 -19.0177 65.5751 0 0.827567 0.320135 -0.461136 5.511 0.019485
21 13.8288 -98.9498 -130.475 0 -0.101627 -0.877103 -0.469428 5.511 0.0187439
22 -32.6905 -44.1369 -106.427 0 -0.756186 -0.419451 -0.502239 5.511 0.0195693
23 -46.6019 -11.6665 33.2598 0 -0.242122 0.356319 0.902449 5.511 0.0212995
24 29.9087 122.417 34.6157 0 0.192505 -0.0471386 0.980163 5.511 0.0186845
25 15.8229 -180.325 -31.5885 0 0.942168 0.334843 -0.0141582 5.511 0.0217575
26 -46.6604 44.8742 -64.9528 0 -0.830503 0.281457 0.480673 5.511 0.0224756
27 -61.585 -34.229 88.5271 0 -0.996511 -0.047124 -0.0688851 5.511 0.0237653
28 -31.4585 -12.5061 3.5452 0 -0.260922 -0.766534 0.58681 5.511 0.0206519
29 57.9306 148.712 -137.126 0 0.338319 -0.381182 -0.860372 5.511 0.0212691
30 -85.7102 -147.87 -58.7709 0 -0.847997 -0.00804901 0.52994 5.511 0.0217118
31 -19.9202 -137.169 85.0694 0 0.0978622 0.482574 0.870371 5.511 0.0212558
