eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
90 0.276745 239.578 39.113 0.207644 78
91 0.172666 140.334 30.0958 0.247985 54
92 0.31922 269.965 22.8638 0.168186 80
93 0.0528739 46.272 2.95014 0.1705 38
94 0.136728 113.309 11.9038 0.164572 70
97 0.182389 154.387 10.9355 0.140909 68
98 0.134511 111.588 15.5836 0.188417 60
99 0.0167067 14.0777 5.48402 0.440914 9
100 0.253722 211.137 37.2288 0.23061 72
101 0.0332286 26.5934 2.91223 0.214383 22
102 0.0153389 12.8645 1.51389 0.287855 12
103 0.0429089 41.5484 18.9683 0.471818 20
104 0.311343 259.247 14.74 0.131768 97
106 0.185329 153.378 10.6374 0.122393 82
107 0.00731872 5.72175 1.61879 0.454496 5
108 0.103565 84.3727 10.0647 0.188636 46
110 0.297971 249.189 77.2057 0.323857 81
111 0.0482134 39.7227 3.40977 0.192448 34
112 0.205232 170.791 11.4539 0.149544 69
113 0.315868 263.592 19.446 0.143847 87
114 0.0602413 49.7305 6.48831 0.224551 29
115 0.266806 221.446 20.5261 0.216412 60
116 0.258602 218.818 13.6409 0.143783 81
118 0.204916 168.862 23.0333 0.167843 77
119 0.202138 173.232 16.6761 0.155109 78
120 0.254414 209.876 8.9848 0.102925 95
121 0.305075 249.685 28.7086 0.191176 87
123 0.308631 244.469 30.4841 0.234144 60
124 0.0833393 69.8871 7.43362 0.180312 47
125 0.2776 230.16 14.2323 0.136011 92
126 0.106961 88.2955 23.6198 0.295652 43
127 0.145357 122.76 18.7821 0.255395 55
128 0.0339543 31.0128 11.6545 0.433901 13
129 0.0423205 34.0298 4.58225 0.229921 26
130 0.207389 173.601 23.6364 0.15878 84
131 0.00788481 6.89091 1.55048 0.417587 7
132 0.142898 121.006 8.10416 0.153874 67
133 0.0876015 66.3809 26.7273 0.476212 23
134 0.052849 44.1963 3.6945 0.183566 34
136 0.272765 235.283 25.3411 0.180609 84
137 0.0726276 60.0294 6.29246 0.175689 44
140 0.076635 65.0306 10.2627 0.212224 40
141 0.11765 99.0089 8.69216 0.153996 62
144 0.0108374 8.74445 3.58295 0.486776 7
145 0.291675 240.809 25.2011 0.200512 69
147 0.235952 198.872 25.2367 0.16506 76
149 0.0188518 15.7901 1.94826 0.261011 15
150 0.274774 225.663 21.3607 0.143545 99
152 0.253391 202.418 28.8945 0.193761 70
153 0.302986 252.349 22.5993 0.147851 88
154 0.201397 163.786 16.4673 0.188995 61
156 0.0370324 31.2693 2.34453 0.198094 26
157 0.0405266 33.5333 3.49691 0.220751 25
159 0.232568 193.512 19.0208 0.175662 73
161 0.1728 137.929 18.5109 0.195701 63
163 0.118746 102.259 31.0327 0.323572 51
164 0.0187425 15.8422 2.06401 0.255358 16
165 0.337536 276.199 18.6109 0.140454 94
166 0.213574 178.853 12.8751 0.142566 80
167 0.0955724 81.0724 10.2214 0.212095 42
168 0.109976 91.689 9.29336 0.164472 53
169 0.0120342 10.8487 1.83814 0.311076 11
171 0.0629099 60.5825 8.73132 0.232154 36
172 0.151382 124.468 11.1068 0.163448 63
173 0.355607 288.86 37.3879 0.195407 84
175 0.0607726 49.7887 4.91351 0.186221 34
176 0.279942 224.028 23.2681 0.199862 65
178 0.220596 179.329 18.8254 0.181571 67
179 0.19617 169.302 19.7946 0.165437 76
180 0.103028 84.766 8.24832 0.173204 49
181 0.334281 270.853 51.1579 0.230239 81
183 0.0214941 19.8723 3.66305 0.303141 16
184 0.224037 189.783 10.0217 0.123587 92
185 0.244388 204.59 21.0137 0.158286 82
188 0.190527 159.052 10.0026 0.12877 77
189 0.0147414 11.9253 2.14932 0.309407 11
190 0.0191045 16.568 2.3396 0.261493 16
191 0.0510856 43.0775 3.34928 0.182608 34
193 0.0875633 74.0995 9.85596 0.20194 45
194 0.0525965 41.5875 7.3927 0.254216 27
196 0.22133 185.107 15.8957 0.179807 69
197 0.116247 101.426 22.9843 0.262959 47
198 0.221642 187.69 9.50557 0.121529 80
199 0.158115 140.592 49.805 0.430833 35
202 0.00708774 5.97798 1.27394 0.396147 7
203 0.200686 168.606 16.5249 0.176055 67
204 0.292555 235.61 23.2362 0.143809 93
206 0.319256 276.873 61.3355 0.340857 57
207 0.117614 97.1226 14.5267 0.197287 55
208 0.164095 139.759 21.8609 0.186848 68
209 0.0109749 8.64008 1.68976 0.368592 8
211 0.131526 110.702 11.3751 0.193086 51
212 0.141968 120.174 12.1844 0.170537 65
213 0.255768 215.333 29.0206 0.177206 85
214 0.120386 98.571 17.5105 0.244429 50
216 0.132053 112.259 11.2401 0.141636 62
217 0.215822 184.196 21.1502 0.191954 84
218 0.125609 103.718 10.6909 0.173178 55
219 0.0048843 4.18372 1.04348 0.44987 5
220 0.110226 92.3613 14.9524 0.235113 46
222 0.243159 203.403 16.0479 0.156805 84
224 0.204299 173.974 16.0247 0.16429 69
225 0.256188 215.115 24.8028 0.167411 74
226 0.120858 98.3404 8.36486 0.162567 58
227 0.10876 90.4976 23.1625 0.316995 42
228 0.167483 145.04 33.5809 0.261448 60
231 0.100172 82.6506 4.70727 0.14094 58
232 0.191817 160.934 24.3126 0.178892 80
233 0.164581 136.427 9.52877 0.141879 62
234 0.258876 214.649 18.2943 0.173719 80
236 0.370897 310.848 12.9761 0.117855 105
237 0.289576 240.243 26.3118 0.168122 84
238 0.188864 157.889 10.0208 0.121297 91
241 0.252547 210.892 32.3672 0.190935 83
242 0.118665 98.5704 5.03227 0.128795 70
243 0.0481369 48.2217 10.9943 0.274447 35
244 0.283188 235.483 9.05217 0.096209 113
245 0.367036 318.747 23.2613 0.146224 99
246 0.301363 252.049 23.4338 0.146809 89
248 0.243139 214.291 26.0628 0.230176 58
249 0.293996 235.632 20.9949 0.145634 91
250 0.181101 162.899 27.3298 0.227983 68
251 0.115319 93.0704 21.7816 0.268773 46
254 0.108176 91.4872 15.5529 0.203298 55
255 0.0909343 73.924 16.6015 0.283838 36
256 0.244544 204.385 21.4979 0.18476 65
257 0.171015 149.093 27.5339 0.241974 58
258 0.142199 117.569 36.4395 0.313976 65
261 0.307709 262.519 17.1732 0.135831 94
262 0.27091 228.923 13.3356 0.119689 95
263 0.0278494 23.4018 2.37016 0.231018 19
264 0.349049 287.587 30.0235 0.188795 75
265 0.171099 140.439 19.4868 0.206254 59
266 0.117993 99.6718 43.7756 0.464176 28
267 0.346668 289.052 14.7752 0.10908 120
268 0.281604 233.957 36.2454 0.173683 103
269 0.0670331 57.4387 11.6813 0.249268 34
270 0.0725696 59.5222 3.72306 0.150529 44
271 0.20017 164.206 36.215 0.26873 64
272 0.152991 137.401 49.5425 0.426193 38
273 0.1097 93.0031 10.0093 0.18204 51
275 0.260591 219.616 19.5181 0.159891 79
276 0.314032 271.206 27.2217 0.175958 80
277 0.0530738 44.739 3.37223 0.179071 39
279 0.226472 187.719 11.5505 0.118515 94
280 0.218335 181.706 18.5188 0.153895 91
281 0.280763 225.985 14.7428 0.127669 94
283 0.326391 265.607 28.7046 0.166538 96
284 0.049571 42.2796 9.28968 0.280922 25
286 0.397775 328.723 24.9968 0.143133 103
287 0.142347 120.692 16.721 0.179889 60
288 0.102957 89.1019 6.08189 0.151191 56
290 0.108325 90.1906 12.6112 0.186578 58
291 0.177177 148.217 20.3073 0.215969 62
292 0.117676 104.748 34.5728 0.355964 40
293 0.132759 111.494 39.0943 0.369613 47
294 0.33599 283.622 20.5466 0.135928 107
295 0.0612489 52.5084 5.47735 0.212944 32
296 0.284975 241.614 20.3829 0.157438 99
298 0.256707 216.279 16.4646 0.154365 89
299 0.0844568 70.6082 19.6512 0.307807 36
300 0.376657 307.613 17.9049 0.133281 114
301 0.33726 285.35 15.5975 0.102938 116
304 0.262438 219.26 29.3074 0.18673 80
305 0.300592 251.101 17.9426 0.129149 105
306 0.24839 205.929 10.7893 0.105033 104
307 0.0394707 35.2476 5.12388 0.222309 25
308 0.0206132 16.1529 2.63406 0.265685 15
310 0.192274 160.217 19.0476 0.184139 69
311 0.073956 63.1376 6.19572 0.174731 40
313 0.0604727 48.7953 9.46674 0.257053 29
314 0.00874718 7.21149 1.27718 0.362205 8
315 0.297989 248.743 16.2503 0.123792 104
316 0.04259 34.7784 3.77639 0.21551 25
317 0.140968 117.583 11.1702 0.19306 56
318 0.141573 125.201 12.0136 0.173342 61
319 0.0796938 67.6268 3.78375 0.14164 52
321 0.189806 158.119 12.1856 0.170552 67
322 0.0266304 23.7659 3.84125 0.269526 19
323 0.0314205 25.7683 4.51997 0.264394 18
324 0.175564 183.747 35.9972 0.263551 69
327 0.186608 157.158 13.4555 0.160044 73
328 0.191741 163.342 31.3884 0.258809 52
329 0.0945051 78.7755 7.73427 0.167556 52
331 0.32897 273.796 10.9149 0.102311 113
332 0.171803 146.784 31.8253 0.279795 47
333 0.284816 244.224 22.8415 0.219343 67
335 0.136932 114.591 19.9763 0.229984 50
336 0.304051 255.131 17.5653 0.165202 92
337 0.0367912 30.2728 3.46447 0.218424 23
338 0.0565239 47.1879 5.17801 0.193234 38
340 0.209249 174.794 21.1902 0.194927 66
343 0.166004 139.741 13.937 0.172862 65
344 0.0830709 70.9701 10.9254 0.192981 47
345 0.332758 273.957 25.8363 0.16983 82
347 0.352446 302.425 34.7456 0.179202 101
348 0.135603 112.892 6.22501 0.131575 72
349 0.0330467 27.1612 3.7 0.251681 24
351 0.291639 247.837 26.4981 0.15337 84
353 0.0168472 13.4883 2.48525 0.325693 11
354 0.127391 109.617 17.7612 0.212803 51
355 0.0711848 58.7974 8.88456 0.216502 40
356 0.314686 265.255 19.3541 0.130487 102
357 0.189203 161.397 18.3994 0.158731 82
362 0.246186 192.773 26.8568 0.206899 66
363 0.0117906 10.2346 1.58099 0.327924 10
365 0.0942298 78.3209 15.1653 0.267225 36
366 0.211348 174.507 11.6294 0.121051 87
367 0.336219 289.359 25.8384 0.187583 80
368 0.0108415 11.3777 3.59076 0.461705 6
370 0.0106639 8.41087 2.56573 0.41153 7
371 0.211702 174.475 19.9553 0.174695 70
372 0.277147 228.633 30.7654 0.187698 82
373 0.079641 62.7164 3.74992 0.159282 41
374 0.0870309 75.8794 7.13424 0.177434 47
375 0.0314495 27.0754 3.13421 0.228687 22
377 0.106526 88.0828 6.87807 0.150884 51
378 0.119325 100.255 5.29717 0.142144 57
379 0.359594 299.105 13.281 0.108126 120
380 0.208064 172.35 20.6037 0.170478 74
381 0.300975 254.801 18.6043 0.146629 87
385 0.274277 228.409 29.6112 0.172522 81
387 0.17335 148.756 24.6206 0.214057 68
388 0.104405 86.7728 6.47165 0.155066 52
389 0.305356 254.623 23.424 0.147658 89
390 0.0602274 52.64 7.47127 0.20661 40
392 0.214733 182.802 20.0614 0.171805 76
393 0.392129 332.626 15.8456 0.106889 117
394 0.0245901 20.9136 1.80927 0.216461 21
396 0.02201 18.7588 2.4061 0.272033 14
397 0.304903 249.455 30.6566 0.183893 78
398 0.188364 161.519 16.8315 0.186821 72
400 0.298386 247.502 17.3321 0.160672 76
404 0.163652 139.51 17.3935 0.16767 75
405 0.274846 237.387 9.41132 0.0988103 103
406 0.235875 195.835 10.9068 0.122561 94
407 0.147484 124.091 19.3861 0.245198 51
408 0.210834 167.205 21.7652 0.176329 74
409 0.240187 200.162 11.6514 0.125012 101
410 0.35597 290.113 14.6087 0.127229 99
411 0.153339 128.023 8.65995 0.137436 69
412 0.00941428 7.75408 1.81607 0.42491 7
413 0.352276 300.084 34.2346 0.186697 88
414 0.0900383 79.096 9.03133 0.194409 48
415 0.152154 128.041 26.1317 0.265614 58
417 0.205557 170.139 18.1905 0.165055 71
418 0.0864673 70.8066 9.96414 0.205653 46
420 0.073647 62.386 6.51984 0.171365 44
422 0.239345 204.69 21.5332 0.149975 91
424 0.00641109 5.3309 1.36797 0.43432 6
425 0.0935829 79.7352 7.7254 0.164766 52
426 0.0644933 53.5371 3.70758 0.152011 42
428 0.227344 188.429 13.7861 0.1578 79
432 0.374326 317.494 37.6958 0.167795 108
433 0.056943 45.1244 11.2992 0.368306 18
434 0.313643 266.592 12.1155 0.107407 110
435 0.280323 236.717 21.5214 0.142791 104
436 0.00800948 6.21491 1.58457 0.449188 5
437 0.233336 189.55 21.5532 0.174179 71
439 0.173917 150.706 16.8361 0.195168 71
440 0.0382853 36.9176 10.9142 0.439851 18
441 0.034996 27.215 9.87861 0.394639 15
443 0.200331 180.348 19.8919 0.18666 67
444 0.303637 251.538 21.8571 0.178568 77
445 0.263605 226.239 17.7428 0.141624 86
446 0.0299974 24.0157 6.01421 0.319451 16
447 0.233152 199.226 11.2215 0.134321 89
448 0.0334914 27.6652 3.27282 0.21649 23
449 0.0559536 45.5802 5.0541 0.196493 41
451 0.0659799 55.9227 4.42023 0.162279 39
452 0.0322623 26.574 3.97764 0.261347 18
454 0.0588713 49.0347 4.64371 0.171024 38
455 0.279347 225.32 25.6527 0.175303 70
459 0.00763047 6.17983 1.17338 0.376111 7
460 0.295016 234.765 41.5873 0.264858 63
464 0.22621 188.269 13.9789 0.151712 78
466 0.0996643 82.4316 11.1761 0.212878 35
470 0.31436 262.108 50.7654 0.243069 72
471 0.14393 122.078 23.0215 0.302831 37
472 0.304639 248.33 22.7995 0.165225 81
473 0.0372524 31.9566 9.68655 0.374556 21
475 0.0995741 84.6482 6.29039 0.152755 50
476 0.301626 255.258 19.2721 0.154746 88
477 0.0793383 67.6022 16.1631 0.29461 36
478 0.213254 180.745 18.0108 0.175104 78
479 0.313813 265.721 21.9055 0.1515 100
480 0.310605 260.757 14.0879 0.129912 97
481 0.120133 98.6192 13.1144 0.178547 53
482 0.284071 245.891 16.5095 0.126902 95
483 0.159382 138.553 13.7822 0.159113 63
484 0.0273015 22.2678 2.2802 0.223091 21
487 0.127302 110.723 9.01059 0.140837 69
488 0.00473963 3.76304 1.17464 0.496307 5
489 0.29293 241.851 10.9597 0.0987629 111
490 0.256073 213.766 19.8175 0.164012 77
494 0.149142 123.646 8.71885 0.144823 66
495 0.051126 38.9753 5.73587 0.223859 26
496 0.0688722 57.4634 10.6149 0.291845 25
497 0.232294 193.931 18.427 0.181643 77
498 0.37813 317.569 26.7549 0.169544 101
499 0.310492 254.33 33.8215 0.196801 71
500 0.27303 235.107 22.5146 0.145387 87
501 0.313657 267.653 20.2435 0.143149 88
503 0.0344389 28.8545 3.14804 0.235074 21
504 0.00809585 6.98784 2.47246 0.474665 6
505 0.195551 162.175 10.9246 0.13115 81
506 0.241438 180.089 49.795 0.329963 51
507 0.248649 213.514 27.8233 0.229053 55
508 0.254197 214.862 27.2167 0.215667 67
509 0.269029 223.182 13.0208 0.13655 86
510 0.0558668 44.0367 3.92823 0.210569 34
511 0.318168 278.971 34.6326 0.163396 85
512 0.290224 244.716 25.4527 0.174457 73
514 0.268723 214.749 28.3314 0.186735 73
515 0.0478631 41.388 4.49047 0.207596 30
516 0.0770997 61.5102 6.73437 0.202233 36
517 0.101022 85.2946 9.89179 0.169338 53
519 0.156714 134.031 28.3647 0.250783 58
