eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
68 -4.14923 37.5385 -26.1384 0 -0.0626311 0.287036 0.95587 10.511 0.0437662
69 130.693 -26.8195 70.4134 0 0.302533 0.0285639 -0.952711 10.511 0.0450699
70 13.1929 4.65441 -96.9532 0 0.0155342 0.442578 -0.896595 10.511 0.0526638
71 -51.3302 -10.4569 -125.351 0 -0.102491 -0.988318 -0.112795 10.511 0.0418312
72 66.9418 33.8799 125.017 0 -0.594404 0.579705 -0.557338 10.511 0.039887
73 -57.4133 91.912 57.7298 0 0.730255 -0.432779 0.528612 10.511 0.0411671
74 1.18986 163.345 -31.4902 0 0.766103 -0.267978 -0.584187 10.511 0.0341521
75 -72.8361 9.11468 -68.5829 0 0.408547 0.613353 -0.675934 10.511 0.0488018
76 -119.005 123.079 1.69489 0 -0.100561 -0.315372 0.943625 10.511 0.0454804
77 76.2916 -81.857 44.5411 0 -0.164951 0.867859 0.468628 10.511 0.0402909
78 -72.3505 132.523 -109.649 0 0.887318 -0.436983 -0.14735 10.511 0.0338381
79 50.0899 14.9283 -104.738 0 0.195659 0.236532 -0.95172 10.511 0.0423754
80 7.00455 121.473 -11.5984 0 0.89464 0.299074 -0.331925 10.511 0.0452584
81 97.9013 -137.677 85.7598 0 0.262707 -0.72028 0.642013 10.511 0.0355007
82 85.0569 -52.826 -77.6659 0 -0.986902 -0.0154632 0.160581 10.511 0.0480679
83 -81.0535 -120.36 121.796 0 0.699125 0.137757 0.701603 10.511 0.0451678
84 -72.7027 -57.0013 64.9848 0 0.410459 0.500974 0.761937 10.511 0.0450871
85 59.9631 -188.596 46.7589 0 -0.791628 -0.516297 -0.326746 10.511 0.0382946
86 116.826 166.854 -7.70873 0 -0.28096 -0.632365 0.721925 10.511 0.0502553
87 67.7086 55.7947 -37.1581 0 -0.925837 0.374183 -0.0530295 10.511 0.0315399
88 -69.1575 128.579 -6.77223 0 -0.437632 -0.898728 -0.0276873 10.511 0.0374694
89 18.5489 15.9042 -54.2147 0 -0.961712 -0.0929521 0.257819 10.511 0.0429747
90 -19.2469 -72.9844 50.3752 0 -0.173103 0.826623 0.535472 10.511 0.0525181
91 4.60696 -111.038 24.7323 0 -0.405142 -0.272266 0.872772 10.511 0.0457041
92 -84.0418 16.355 48.9779 0 0.560276 0.791679 0.243588 10.511 0.0376473
93 34.9206 -11.6959 1.26307 0 -0.558044 0.816226 0.149537 10.511 0.0403234
94 41.0855 153.206 -4.9573 0 -0.456366 -0.613033 -0.644919 10.511 0.0422526
95 30.5382 -191.832 -37.7031 0 -0.151172 -0.301586 -0.941378 10.511 0.0294568
96 39.6256 -191.571 119.035 0 -0.0241154 0.740981 0.671093 10.511 0.0446505
97 76.419 188.334 27.314 0 -0.906756 -0.0472207 0.419004 10.511 0.0332474
98 138.512 -70.9034 37.4677 0 -0.34323 0.464056 0.816605 10.511 0.0296274
99 -18.2253 115.615 31.023 0 -0.916291 0.292963 0.273098 10.511 0.0427441
100 -8.68111 109.776 91.5178 0 0.742832 -0.206011 0.636994 10.511 0.0365303
101 102.917 111.212 -72.8521 0 0.470107 0.867153 -0.164453 10.511 0.0471726
102 80.851 157.906 -112.812 0 0.534595 -0.0214004 -0.844838 10.511 0.0460152
103 -7.00019 4.54564 16.2487 0 0.0367165 -0.989194 0.141943 10.511 0.0337118
104 4.68634 -94.6725 -119.099 0 0.636417 -0.23488 0.734714 10.511 0.0474293
105 -95.5153 -48.6468 23.1214 0 -0.17343 0.951268 -0.254974 10.511 0.0481293
