eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
129 0.0363051 30.3604 3.60988 0.2155 23
130 0.0511889 45.1028 21.8827 0.53563 15
131 0.0355568 28.9579 2.33807 0.211628 26
132 0.0459732 39.2028 7.90191 0.326134 19
133 0.068508 58.1309 7.90636 0.224974 29
134 0.0281738 22.39 2.46792 0.247604 19
135 0.0500559 42.6137 3.76441 0.213997 26
136 0.0763918 63.5045 7.01689 0.206202 31
137 0.057139 48.6075 6.093 0.22421 26
138 0.0534167 43.9089 9.95427 0.291926 21
139 0.0869636 74.0245 26.7467 0.415116 21
140 0.0500098 42.3101 4.78437 0.19938 33
141 0.0475794 39.8863 4.62706 0.214283 28
142 0.0206318 18.4812 10.5254 0.5916 7
143 0.0418272 35.7815 4.53933 0.232694 25
144 0.0565967 46.0264 8.85013 0.263524 27
145 0.0670871 58.1136 7.77643 0.2293 25
146 0.0275149 21.2587 8.35126 0.43822 11
147 0.0414339 35.3407 2.32562 0.174601 31
148 0.0554941 48.5608 8.68196 0.250592 27
149 0.0572903 49.2627 15.7 0.372214 22
150 0.0396917 32.8214 4.30928 0.278573 17
151 0.0662906 54.3147 5.74339 0.189147 38
152 0.0538543 45.8549 4.35233 0.192173 34
153 0.0538996 45.4924 4.65852 0.220987 27
154 0.0629219 52.4003 6.98524 0.223207 28
155 0.0358865 29.6502 3.9363 0.222688 24
156 0.011459 8.86495 1.46426 0.33383 9
157 0.0684668 57.7284 6.31267 0.179812 37
158 0.0682654 57.3434 5.54997 0.184557 34
159 0.0432202 37.6234 3.37433 0.206122 29
160 0.0368585 32.0171 3.48513 0.227691 23
161 0.0337822 28.8523 4.69681 0.267494 21
162 0.0529228 43.0358 5.21069 0.225108 26
163 0.0528508 45.0871 7.99304 0.268945 27
164 0.0662791 58.6711 34.2992 0.586951 22
165 0.0582274 49.1944 13.5437 0.350929 22
166 0.0415671 36.5511 3.48423 0.201245 26
167 0.0377217 31.1502 3.55043 0.227556 22
168 0.0579895 51.2947 6.667 0.210842 31
169 0.0454071 37.1944 2.86366 0.183269 32
170 0.0256014 20.9003 4.95851 0.297226 19
171 0.006506 5.86391 1.01573 0.353956 8
172 0.0430499 36.242 3.31673 0.193755 28
173 0.0393086 35.7809 3.55393 0.230376 23
174 0.0556027 46.764 4.32657 0.18325 36
175 0.0538126 45.5104 11.0916 0.304773 24
176 0.0575354 47.1654 4.27396 0.205725 28
177 0.0504394 43.8992 5.66777 0.259114 21
178 0.0333052 28.4698 7.90723 0.348974 15
179 0.048062 40.9284 4.75084 0.212454 26
180 0.0379163 33.0781 4.80208 0.236746 24
181 0.0520199 41.2532 6.50628 0.249168 26
183 0.0476518 39.1641 4.0573 0.215143 28
184 0.0324849 26.329 3.57972 0.250869 22
185 0.0435438 37.8931 4.50972 0.195643 29
186 0.0690043 57.6487 17.1204 0.358664 20
187 0.04248 36.4706 9.32851 0.312108 22
188 0.0508048 43.8129 4.20784 0.196161 33
189 0.0550271 47.0015 5.54611 0.210929 31
190 0.0620139 52.6114 7.14903 0.258104 28
191 0.0440067 38.619 4.68698 0.229173 23
192 0.0492713 40.8803 4.4757 0.227487 27
193 0.0498432 42.1877 4.44544 0.210681 27
194 0.0470816 38.6668 6.35732 0.231159 28
195 0.0331075 28.2488 3.97882 0.241482 22
196 0.0395358 33.2079 5.3089 0.236399 24
197 0.0344559 27.9904 3.63276 0.258458 18
198 0.0472166 40.639 3.1263 0.170956 34
199 0.0422917 35.31 2.42602 0.202352 30
200 0.0437501 34.2667 3.0513 0.203247 26
201 0.0323506 26.3208 3.19072 0.25654 19
203 0.0360315 31.5844 6.37906 0.308633 18
204 0.0390143 31.8894 7.81904 0.320914 18
205 0.0641751 55.4728 7.92085 0.235549 32
206 0.035435 29.9337 4.76744 0.282758 21
207 0.0257051 21.5694 1.39577 0.190745 24
208 0.0485253 43.6099 7.15736 0.248943 22
209 0.0562904 49.3058 4.73293 0.192982 28
210 0.0405872 36.0702 4.80734 0.233201 27
211 0.0499879 41.351 3.99823 0.207406 26
212 0.0561295 48.2903 5.68823 0.245034 22
213 0.080933 68.4847 5.01595 0.184887 35
214 0.0535075 45.1334 6.48643 0.23012 27
215 0.0471257 39.0618 9.05529 0.279598 26
216 0.0574111 47.5089 5.1086 0.208307 32
217 0.057994 45.4796 13.2636 0.367486 26
218 0.0471969 40.3553 9.20408 0.3098 21
219 0.0456907 37.8546 5.83375 0.258833 21
220 0.0424635 37.4703 5.32855 0.216719 28
221 0.05589 46.1862 3.71137 0.181503 36
222 0.0432374 36.9134 4.05246 0.212704 27
223 0.0503355 41.7316 9.43196 0.286158 22
224 0.06464 51.1298 5.49778 0.222619 28
225 0.0317053 29.9174 5.48715 0.2748 20
226 0.0216381 17.2302 5.40356 0.395126 14
227 0.0528962 43.7196 4.97464 0.199312 31
228 0.0535065 43.4649 10.9156 0.31108 23
229 0.0360807 30.7449 5.49858 0.328504 14
230 0.0497089 41.716 3.66183 0.180381 33
231 0.0504302 42.1671 4.54884 0.219174 25
232 0.0396383 35.7528 5.12761 0.236848 24
233 0.0355959 29.5928 6.70764 0.309344 18
234 0.041721 34.7204 3.55346 0.203281 26
235 0.0597382 47.2005 5.32069 0.204642 28
236 0.0408125 37.4751 6.09926 0.26142 23
237 0.0390645 32.2433 3.2775 0.218715 23
238 0.0310868 26.7075 4.20423 0.250433 23
239 0.0322053 27.3702 7.24065 0.3662 20
240 0.0564882 47.3614 4.28382 0.21058 30
241 0.0576994 48.1049 4.56263 0.184106 35
242 0.0230913 19.5541 4.22748 0.316959 16
243 0.036503 30.673 4.52648 0.262338 19
244 0.0651416 55.0567 7.69057 0.209653 34
245 0.0791851 65.411 6.20989 0.1927 38
246 0.0580656 49.8225 7.81212 0.243603 28
247 0.0507334 42.7101 5.05561 0.199086 30
248 0.0530627 41.975 6.21697 0.242364 28
249 0.0508427 42.3173 4.78919 0.229593 24
250 0.0492373 38.9681 3.83815 0.207871 28
251 0.0551379 46.7904 3.62955 0.204038 31
252 0.0472766 38.4491 4.39158 0.263423 18
253 0.0407355 33.5502 3.35147 0.189919 28
254 0.042471 37.3939 3.04924 0.203743 29
255 0.044762 37.0805 4.02109 0.236264 21
256 0.054232 45.4425 6.79557 0.255576 21
257 0.0439428 37.8195 4.44547 0.218481 26
258 0.0397954 33.6427 5.15108 0.257596 20
259 0.0399562 32.7515 4.76776 0.244613 24
260 0.0719847 60.0096 5.64481 0.205467 34
261 0.0618394 51.3174 26.1252 0.534354 19
262 0.0324852 30.0463 3.88746 0.220056 28
263 0.0475374 41.1121 8.69233 0.273442 25
264 0.0281793 26.3722 4.13475 0.252268 20
265 0.0418103 33.5593 4.03661 0.217248 27
266 0.0261859 22.2277 2.08931 0.222444 20
267 0.0434454 38.9197 5.19713 0.225496 27
268 0.0430665 36.9774 4.39052 0.235027 22
269 0.0415302 32.9098 11.7675 0.402596 18
270 0.0495423 40.8757 4.25857 0.207321 27
271 0.0484043 38.4582 4.66754 0.247947 31
272 0.0325923 25.7726 2.78469 0.230694 20
273 0.0666981 53.2363 9.29833 0.250196 27
274 0.0397196 32.5855 2.18867 0.177555 31
275 0.0686613 56.6624 7.05609 0.229099 30
276 0.0704915 57.8565 5.70816 0.192159 34
277 0.0663063 54.9962 7.29554 0.214139 37
278 0.0344882 30.2602 10.0442 0.423076 16
279 0.061831 51.5441 17.6337 0.380258 24
280 0.0336262 27.7108 3.38458 0.260268 20
281 0.0419077 32.8752 4.80372 0.246063 23
282 0.0625268 53.5338 14.8434 0.336085 20
283 0.0470828 39.8197 10.1957 0.344531 19
284 0.0118612 9.94213 2.91746 0.423882 7
285 0.0525999 44.3453 4.12445 0.172308 36
286 0.0484367 41.6472 3.45444 0.195758 30
287 0.0754076 62.3987 8.31859 0.243427 28
288 0.0416799 35.3103 4.87791 0.251749 23
289 0.0667235 56.1385 5.81299 0.185094 40
290 0.0440748 36.9085 4.86116 0.234017 27
291 0.0533885 45.1073 5.54639 0.219743 27
292 0.0500237 41.6334 4.18333 0.195207 31
293 0.0368813 33.1938 3.95559 0.207548 30
294 0.0289839 25.4866 3.2901 0.235986 21
295 0.0583038 49.5864 9.8699 0.255318 30
